dataset,pool_label,pool_size,query_id,ranker,n_candidates,n_scored,coverage_fraction,n_pairs,eligible_pairs,pairwise_eligibility_fraction,native_ties,tie_abstention_fraction_of_eligible,missing_abstention_fraction,vote_margin_threshold,nontied_eligible_pairs,retained_votes,vote_margin_abstention_fraction_of_nontied,final_retained_vote_fraction_of_all_pairs
scidocs,canonical,20,3be10c45163c61dfb9f250412699b3f8cb0ada1d,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,188,0.010526315789473684,0.9894736842105263
scidocs,canonical,20,3be10c45163c61dfb9f250412699b3f8cb0ada1d,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,63,0.6684210526315789,0.33157894736842103
scidocs,canonical,20,3be10c45163c61dfb9f250412699b3f8cb0ada1d,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,117,0.38421052631578945,0.6157894736842106
scidocs,canonical,20,566c89a1ace18f57ac3212e6d62634b501990b31,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,170,0.005847953216374269,0.8947368421052632
scidocs,canonical,20,566c89a1ace18f57ac3212e6d62634b501990b31,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,25,0.868421052631579,0.13157894736842105
scidocs,canonical,20,566c89a1ace18f57ac3212e6d62634b501990b31,minilm,20,9,0.45,190,36,0.18947368421052632,0,0.0,0.8105263157894737,0.2737660428484724,36,10,0.7222222222222222,0.05263157894736842
scidocs,canonical,20,370fda29c5aaff285311a87824c5f28db33da021,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,188,0.010526315789473684,0.9894736842105263
scidocs,canonical,20,370fda29c5aaff285311a87824c5f28db33da021,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,57,0.7,0.3
scidocs,canonical,20,370fda29c5aaff285311a87824c5f28db33da021,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,85,0.5526315789473685,0.4473684210526316
scidocs,canonical,20,6c89453c09abde95d998f5acd244f00519472ee0,bm25,20,20,1.0,190,190,1.0,1,0.005263157894736842,0.0,0.004679549324860623,189,188,0.005291005291005291,0.9894736842105263
scidocs,canonical,20,6c89453c09abde95d998f5acd244f00519472ee0,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,73,0.6157894736842106,0.38421052631578945
scidocs,canonical,20,6c89453c09abde95d998f5acd244f00519472ee0,minilm,20,16,0.8,190,120,0.631578947368421,0,0.0,0.3684210526315789,0.2737660428484724,120,76,0.36666666666666664,0.4
scidocs,canonical,20,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,189,0.005263157894736842,0.9947368421052631
scidocs,canonical,20,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,88,0.5368421052631579,0.4631578947368421
scidocs,canonical,20,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,106,0.4421052631578947,0.5578947368421052
scidocs,canonical,20,714c194a2fc326151b905270558aa137f9f22730,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,190,0.0,1.0
scidocs,canonical,20,714c194a2fc326151b905270558aa137f9f22730,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,89,0.531578947368421,0.46842105263157896
scidocs,canonical,20,714c194a2fc326151b905270558aa137f9f22730,minilm,20,15,0.75,190,105,0.5526315789473685,0,0.0,0.4473684210526316,0.2737660428484724,105,61,0.41904761904761906,0.32105263157894737
scidocs,canonical,20,c79b88a8d8ba491cead38b431703d84015153a8f,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,186,0.021052631578947368,0.9789473684210527
scidocs,canonical,20,c79b88a8d8ba491cead38b431703d84015153a8f,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,87,0.5421052631578948,0.45789473684210524
scidocs,canonical,20,c79b88a8d8ba491cead38b431703d84015153a8f,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,105,0.4473684210526316,0.5526315789473685
scidocs,canonical,20,b2a20116c0609e23d3adfeaa604500fddca66178,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,189,0.005263157894736842,0.9947368421052631
scidocs,canonical,20,b2a20116c0609e23d3adfeaa604500fddca66178,tfidf,20,19,0.95,190,171,0.9,0,0.0,0.1,0.3403809610419755,171,56,0.672514619883041,0.29473684210526313
scidocs,canonical,20,b2a20116c0609e23d3adfeaa604500fddca66178,minilm,20,8,0.4,190,28,0.14736842105263157,0,0.0,0.8526315789473684,0.2737660428484724,28,15,0.4642857142857143,0.07894736842105263
scidocs,canonical,20,8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,189,0.005263157894736842,0.9947368421052631
scidocs,canonical,20,8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,26,0.8631578947368421,0.1368421052631579
scidocs,canonical,20,8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,minilm,20,11,0.55,190,55,0.2894736842105263,0,0.0,0.7105263157894737,0.2737660428484724,55,28,0.4909090909090909,0.14736842105263157
scidocs,canonical,20,281b6888d5df1dddb350fac4e9be5c8272519109,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,184,0.031578947368421054,0.968421052631579
scidocs,canonical,20,281b6888d5df1dddb350fac4e9be5c8272519109,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,27,0.8578947368421053,0.14210526315789473
scidocs,canonical,20,281b6888d5df1dddb350fac4e9be5c8272519109,minilm,20,10,0.5,190,45,0.23684210526315788,0,0.0,0.7631578947368421,0.2737660428484724,45,18,0.6,0.09473684210526316
scidocs,canonical,20,0a40663fdcf7c5fb7cfc459693116c41309e7eca,bm25,20,20,1.0,190,190,1.0,1,0.005263157894736842,0.0,0.004679549324860623,189,188,0.005291005291005291,0.9894736842105263
scidocs,canonical,20,0a40663fdcf7c5fb7cfc459693116c41309e7eca,tfidf,20,19,0.95,190,171,0.9,0,0.0,0.1,0.3403809610419755,171,58,0.6608187134502924,0.30526315789473685
scidocs,canonical,20,0a40663fdcf7c5fb7cfc459693116c41309e7eca,minilm,20,4,0.2,190,6,0.031578947368421054,0,0.0,0.968421052631579,0.2737660428484724,6,5,0.16666666666666666,0.02631578947368421
scidocs,canonical,20,8501e330d78391f4e690886a8eb8fac867704ea6,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,190,0.0,1.0
scidocs,canonical,20,8501e330d78391f4e690886a8eb8fac867704ea6,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,25,0.868421052631579,0.13157894736842105
scidocs,canonical,20,8501e330d78391f4e690886a8eb8fac867704ea6,minilm,20,17,0.85,190,136,0.7157894736842105,0,0.0,0.28421052631578947,0.2737660428484724,136,63,0.5367647058823529,0.33157894736842103
scidocs,canonical,20,beac53e8074b4822943a3374ff5e9fed98a891b8,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,189,0.005263157894736842,0.9947368421052631
scidocs,canonical,20,beac53e8074b4822943a3374ff5e9fed98a891b8,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,80,0.5789473684210527,0.42105263157894735
scidocs,canonical,20,beac53e8074b4822943a3374ff5e9fed98a891b8,minilm,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.2737660428484724,153,85,0.4444444444444444,0.4473684210526316
scidocs,canonical,20,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,189,0.005263157894736842,0.9947368421052631
scidocs,canonical,20,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,67,0.6473684210526316,0.3526315789473684
scidocs,canonical,20,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,minilm,20,3,0.15,190,3,0.015789473684210527,0,0.0,0.9842105263157894,0.2737660428484724,3,2,0.3333333333333333,0.010526315789473684
scidocs,canonical,20,7db20fcc1d71edc32c365f145148d24b9f1427a5,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,182,0.042105263157894736,0.9578947368421052
scidocs,canonical,20,7db20fcc1d71edc32c365f145148d24b9f1427a5,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,45,0.7631578947368421,0.23684210526315788
scidocs,canonical,20,7db20fcc1d71edc32c365f145148d24b9f1427a5,minilm,20,12,0.6,190,66,0.3473684210526316,0,0.0,0.6526315789473685,0.2737660428484724,66,42,0.36363636363636365,0.22105263157894736
scidocs,canonical,20,335ad0ff82c728aca99fb0059c607cb18129526f,bm25,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.004679549324860623,153,153,0.0,0.8052631578947368
scidocs,canonical,20,335ad0ff82c728aca99fb0059c607cb18129526f,tfidf,20,16,0.8,190,120,0.631578947368421,0,0.0,0.3684210526315789,0.3403809610419755,120,46,0.6166666666666667,0.24210526315789474
scidocs,canonical,20,335ad0ff82c728aca99fb0059c607cb18129526f,minilm,20,5,0.25,190,10,0.05263157894736842,0,0.0,0.9473684210526315,0.2737660428484724,10,9,0.1,0.04736842105263158
scidocs,canonical,20,04e4034344bda5c97015ea634e6eb1b65ef3a898,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,187,0.015789473684210527,0.9842105263157894
scidocs,canonical,20,04e4034344bda5c97015ea634e6eb1b65ef3a898,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,68,0.6421052631578947,0.35789473684210527
scidocs,canonical,20,04e4034344bda5c97015ea634e6eb1b65ef3a898,minilm,20,19,0.95,190,171,0.9,0,0.0,0.1,0.2737660428484724,171,94,0.4502923976608187,0.49473684210526314
scidocs,canonical,20,271a4077c037b86fb7daf6bff3e66682322ff7d7,bm25,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.004679549324860623,153,152,0.006535947712418301,0.8
scidocs,canonical,20,271a4077c037b86fb7daf6bff3e66682322ff7d7,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,49,0.7421052631578947,0.2578947368421053
scidocs,canonical,20,271a4077c037b86fb7daf6bff3e66682322ff7d7,minilm,20,4,0.2,190,6,0.031578947368421054,0,0.0,0.968421052631579,0.2737660428484724,6,4,0.3333333333333333,0.021052631578947368
scidocs,canonical,20,3d23666c6d97d6ba3c86044d83c697821084bed6,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,170,0.005847953216374269,0.8947368421052632
scidocs,canonical,20,3d23666c6d97d6ba3c86044d83c697821084bed6,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,59,0.6894736842105263,0.3105263157894737
scidocs,canonical,20,3d23666c6d97d6ba3c86044d83c697821084bed6,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,111,0.41578947368421054,0.5842105263157895
scidocs,canonical,20,fd4537b92ab9fa7c653e9e5b9c4f815914a498c0,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,188,0.010526315789473684,0.9894736842105263
scidocs,canonical,20,fd4537b92ab9fa7c653e9e5b9c4f815914a498c0,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,77,0.5947368421052631,0.4052631578947368
scidocs,canonical,20,fd4537b92ab9fa7c653e9e5b9c4f815914a498c0,minilm,20,13,0.65,190,78,0.4105263157894737,0,0.0,0.5894736842105263,0.2737660428484724,78,28,0.6410256410256411,0.14736842105263157
scidocs,canonical,20,191ea925c2115755b44380c99d84f4a1099b4dcd,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,169,0.011695906432748537,0.8894736842105263
scidocs,canonical,20,191ea925c2115755b44380c99d84f4a1099b4dcd,tfidf,20,19,0.95,190,171,0.9,0,0.0,0.1,0.3403809610419755,171,79,0.5380116959064327,0.41578947368421054
scidocs,canonical,20,191ea925c2115755b44380c99d84f4a1099b4dcd,minilm,20,14,0.7,190,91,0.4789473684210526,0,0.0,0.5210526315789473,0.2737660428484724,91,56,0.38461538461538464,0.29473684210526313
scidocs,canonical,20,458f1428273254fc5dd399f3c104f507680ddd54,bm25,20,17,0.85,190,136,0.7157894736842105,0,0.0,0.28421052631578947,0.004679549324860623,136,135,0.007352941176470588,0.7105263157894737
scidocs,canonical,20,458f1428273254fc5dd399f3c104f507680ddd54,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,69,0.6368421052631579,0.3631578947368421
scidocs,canonical,20,458f1428273254fc5dd399f3c104f507680ddd54,minilm,20,9,0.45,190,36,0.18947368421052632,0,0.0,0.8105263157894737,0.2737660428484724,36,26,0.2777777777777778,0.1368421052631579
scidocs,canonical,20,19115f66f6ac1c02568bbb38eceedfa3521a8cc2,bm25,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.004679549324860623,153,152,0.006535947712418301,0.8
scidocs,canonical,20,19115f66f6ac1c02568bbb38eceedfa3521a8cc2,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,59,0.6894736842105263,0.3105263157894737
scidocs,canonical,20,19115f66f6ac1c02568bbb38eceedfa3521a8cc2,minilm,20,17,0.85,190,136,0.7157894736842105,0,0.0,0.28421052631578947,0.2737660428484724,136,73,0.4632352941176471,0.38421052631578945
scidocs,canonical,20,84424eee012089dac9414979f0cb1465c97c4408,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,190,0.0,1.0
scidocs,canonical,20,84424eee012089dac9414979f0cb1465c97c4408,tfidf,20,19,0.95,190,171,0.9,0,0.0,0.1,0.3403809610419755,171,54,0.6842105263157895,0.28421052631578947
scidocs,canonical,20,84424eee012089dac9414979f0cb1465c97c4408,minilm,20,12,0.6,190,66,0.3473684210526316,0,0.0,0.6526315789473685,0.2737660428484724,66,38,0.42424242424242425,0.2
scidocs,canonical,20,5bb6b779de7929c573f39cd84169cafbd72e5bae,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,190,0.0,1.0
scidocs,canonical,20,5bb6b779de7929c573f39cd84169cafbd72e5bae,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,92,0.5157894736842106,0.4842105263157895
scidocs,canonical,20,5bb6b779de7929c573f39cd84169cafbd72e5bae,minilm,20,19,0.95,190,171,0.9,0,0.0,0.1,0.2737660428484724,171,45,0.7368421052631579,0.23684210526315788
scidocs,canonical,20,7b6652910c5cc0df9ff6bc91912a02e58a742d26,bm25,20,16,0.8,190,120,0.631578947368421,0,0.0,0.3684210526315789,0.004679549324860623,120,119,0.008333333333333333,0.6263157894736842
scidocs,canonical,20,7b6652910c5cc0df9ff6bc91912a02e58a742d26,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,63,0.6684210526315789,0.33157894736842103
scidocs,canonical,20,7b6652910c5cc0df9ff6bc91912a02e58a742d26,minilm,20,9,0.45,190,36,0.18947368421052632,0,0.0,0.8105263157894737,0.2737660428484724,36,17,0.5277777777777778,0.08947368421052632
scidocs,canonical,20,df0ef17f63582603dafb1ac5c489dec1416ecbf4,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,171,0.0,0.9
scidocs,canonical,20,df0ef17f63582603dafb1ac5c489dec1416ecbf4,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,94,0.5052631578947369,0.49473684210526314
scidocs,canonical,20,df0ef17f63582603dafb1ac5c489dec1416ecbf4,minilm,20,11,0.55,190,55,0.2894736842105263,0,0.0,0.7105263157894737,0.2737660428484724,55,31,0.43636363636363634,0.1631578947368421
scidocs,canonical,20,f2d5039b55d626ef5466a80e950bddd5cc1819d4,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,167,0.023391812865497075,0.8789473684210526
scidocs,canonical,20,f2d5039b55d626ef5466a80e950bddd5cc1819d4,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,36,0.8105263157894737,0.18947368421052632
scidocs,canonical,20,f2d5039b55d626ef5466a80e950bddd5cc1819d4,minilm,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.2737660428484724,153,49,0.6797385620915033,0.2578947368421053
scidocs,canonical,20,7492683af60d02dbd658acdc61249571f8c20fc8,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,169,0.011695906432748537,0.8894736842105263
scidocs,canonical,20,7492683af60d02dbd658acdc61249571f8c20fc8,tfidf,20,19,0.95,190,171,0.9,0,0.0,0.1,0.3403809610419755,171,52,0.695906432748538,0.2736842105263158
scidocs,canonical,20,7492683af60d02dbd658acdc61249571f8c20fc8,minilm,20,13,0.65,190,78,0.4105263157894737,0,0.0,0.5894736842105263,0.2737660428484724,78,32,0.5897435897435898,0.16842105263157894
scidocs,canonical,20,f7f32e86c23a902ac55fba8b8191026f563bec5b,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,171,0.0,0.9
scidocs,canonical,20,f7f32e86c23a902ac55fba8b8191026f563bec5b,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,58,0.6947368421052632,0.30526315789473685
scidocs,canonical,20,f7f32e86c23a902ac55fba8b8191026f563bec5b,minilm,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.2737660428484724,153,94,0.38562091503267976,0.49473684210526314
scidocs,canonical,20,a22e737d38a1bc671893a7ed341aba436571097a,bm25,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.004679549324860623,153,150,0.0196078431372549,0.7894736842105263
scidocs,canonical,20,a22e737d38a1bc671893a7ed341aba436571097a,tfidf,20,19,0.95,190,171,0.9,0,0.0,0.1,0.3403809610419755,171,83,0.5146198830409356,0.4368421052631579
scidocs,canonical,20,a22e737d38a1bc671893a7ed341aba436571097a,minilm,20,6,0.3,190,15,0.07894736842105263,0,0.0,0.9210526315789473,0.2737660428484724,15,9,0.4,0.04736842105263158
